State_full_name,State,Income,Margin Of Error,Lon,Lat
Alabama,AL,50536,+/- $304,32.806671,-86.79113
Alaska,AK,77640,"+/- $1,015",61.370716,-152.404419
Arizona,AZ,58945,+/- $266,33.729759,-111.431221
Arkansas,AR,47597,+/- $328,34.969704,-92.373123
California,CA,75235,+/- $232,36.116203,-119.681564
Colorado,CO,72331,+/- $370,39.059811,-105.311104
Connecticut,CT,78444,+/- $553,41.597782,-72.755371
Delaware,DE,68287,+/- $696,39.318523,-75.507141
District of Columbia,DC,86420,"+/- $1,008",38.897438,-77.026817
Florida,FL,55660,+/- $220,27.766279,-81.686783
Georgia,GA,58700,+/- $294,33.040619,-83.643074
Hawaii,HI,81275,+/- $780,21.094318,-157.498337
Idaho,ID,55785,+/- $539,44.240459,-114.478828
Illinois,IL,65886,+/- $283,40.349457,-88.986137
Indiana,IN,56303,+/- $271,39.849426,-86.258278
Iowa,IA,60523,+/- $321,42.011539,-93.210526
Kansas,KS,59597,+/- $337,38.5266,-96.726486
Kentucky,KY,50589,+/- $294,37.66814,-84.670067
Louisiana,LA,49469,+/- $392,31.169546,-91.867805
Maine,ME,57918,+/- $496,44.693947,-69.381927
Maryland,MD,84805,+/- $465,39.063946,-76.802101
Massachusetts,MA,81215,+/- $429,42.230171,-71.530106
Michigan,MI,57144,+/- $216,43.326618,-84.536095
Minnesota,MN,71306,+/- $262,45.694454,-93.900192
Mississippi,MS,45081,+/- $385,32.741646,-89.678696
Missouri,MO,55461,+/- $294,38.456085,-92.288368
Montana,MT,54970,+/- $606,46.921925,-110.454353
Nebraska,NE,61439,+/- $416,41.12537,-98.268082
Nevada,NV,60365,+/- $409,38.313515,-117.055374
New Hampshire,NH,76768,+/- $728,43.452492,-71.563896
New Jersey,NJ,82545,+/- $400,40.298904,-74.521011
New Mexico,NM,49754,+/- $430,34.840515,-106.248482
New York,NY,68486,+/- $313,42.165726,-74.948051
North Carolina,NC,54602,+/- $231,35.630066,-79.806419
North Dakota,ND,64894,+/- $813,47.528912,-99.784012
Ohio,OH,56602,+/- $213,40.388783,-82.764915
Oklahoma,OK,52919,+/- $225,35.565342,-96.928917
Oregon,OR,62818,+/- $304,44.572021,-122.070938
Pennsylvania,PA,61744,+/- $189,40.590752,-77.209755
Rhode Island,RI,67167,+/- $958,41.680893,-71.51178
South Carolina,SC,53199,+/- $276,33.856892,-80.945007
South Dakota,SD,58275,+/- $643,44.299782,-99.438828
Tennessee,TN,53320,+/- $260,35.747845,-86.692345
Texas,TX,61874,+/- $208,31.054487,-97.563461
Utah,UT,71621,+/- $447,40.150032,-111.862434
Vermont,VT,61973,+/- $662,44.045876,-72.710686
Virginia,VA,74222,+/- $341,37.769337,-78.169968
Washington,WA,73775,+/- $298,47.400902,-121.490494
West Virginia,WV,46711,+/- $492,38.491226,-80.954453
Wisconsin,WI,61747,+/- $204,44.268543,-89.616508
Wyoming,WY,64049,+/- $707,42.755966,-107.30249